date,hpi,numsold
2011-06-01,185.24,28
2011-07-01,185.66,27
2011-08-01,184.33,25
2011-09-01,184.52,24
2011-10-01,182.93,25
2011-11-01,183.19,23
2011-12-01,182.3,24
2012-01-01,180.39,23
2012-02-01,181.36,30
2012-03-01,184.15,34
2012-04-01,187.26,34
2012-05-01,190.29,35
2012-06-01,192.25,34
2012-07-01,192.66,33
2012-08-01,192.47,31
2012-09-01,192.41,30
2012-10-01,193.05,29
2012-11-01,193.33,28
2012-12-01,192.7,28
2013-01-01,192.26,32
2013-02-01,194.31,36
2013-03-01,198.06,41
2013-04-01,200.87,43
