date,hpi,numsold,log_hpi,diff_log_hpi
1991-01-01,100.0,30,4.605170185988092,
1991-02-01,100.48,40,4.609958702719888,0.004788516731796477
1991-03-01,100.74,51,4.612542940317504,0.002584237597615946
1991-04-01,100.75,50,4.612642200826793,9.926050928843466e-05
1991-05-01,100.92,47,4.614328123772857,0.001685922946064622
1991-06-01,101.4,47,4.619073091157083,0.004744967384225696
1991-07-01,101.36,43,4.618678536012884,-0.00039455514419906024
1991-08-01,101.31,46,4.618185123065586,-0.0004934129472982107
1991-09-01,101.41,37,4.619171705623905,0.0009865825583190713
1991-10-01,101.62,41,4.621240366165586,0.002068660541681311
1991-11-01,102.16,39,4.626540211724284,0.005299845558697669
1991-12-01,102.21,36,4.627029520340985,0.0004893086167010452
1992-01-01,102.31,48,4.6280074198908485,0.0009778995498637144
1992-02-01,102.97,55,4.63443768366866,0.006430263777811085
1992-03-01,103.11,56,4.635796379529852,0.001358695861192416
1992-04-01,102.99,53,4.63463189613771,-0.001164483392141591
1992-05-01,103.17,52,4.6363781131122845,0.0017462169745741107
1992-06-01,103.53,53,4.6398614257780215,0.0034833126657369817
1992-07-01,103.8,52,4.642465970731788,0.0026045449537663856
1992-08-01,104.36,56,4.647846460268528,0.005380489536739752
1992-09-01,104.62,51,4.650334737942465,0.0024882776739376666
1992-10-01,104.81,48,4.652149187182086,0.001814449239621041
1992-11-01,105.07,42,4.654626794700683,0.002477607518597047
1992-12-01,104.67,42,4.650812543866793,-0.0038142508338907533
1993-01-01,104.43,44,4.648516990491458,-0.0022955533753350466
1993-02-01,104.1,50,4.645351975620923,-0.003165014870534222
1993-03-01,104.72,60,4.651290121601645,0.005938145980721288
1993-04-01,105.61,66,4.659753063758383,0.008462942156738151
1993-05-01,105.93,58,4.662778498608405,0.0030254348500218242
1993-06-01,106.73,59,4.670302280925873,0.00752378231746853
1993-07-01,106.75,55,4.670489652108734,0.00018737118286082932
1993-08-01,107.2,57,4.674696248636701,0.004206596527967399
1993-09-01,107.41,57,4.676653287609955,0.001957038973253944
1993-10-01,107.54,56,4.6778628713815325,0.001209583771577094
1993-11-01,107.75,53,4.6798137289838575,0.0019508576023250512
1993-12-01,107.92,51,4.6813902118995,0.0015764829156426075
1994-01-01,107.92,46,4.6813902118995,0.0
1994-02-01,108.03,58,4.682408966328894,0.0010187544293938089
1994-03-01,108.75,74,4.689051669968793,0.006642703639899494
1994-04-01,109.34,65,4.694462293466853,0.005410623498059763
1994-05-01,109.88,65,4.699388861227073,0.004926567760219491
1994-06-01,110.5,55,4.705015520957808,0.005626659730735284
1994-07-01,110.62,52,4.706100904566532,0.001085383608724122
1994-08-01,110.97,59,4.709259894512472,0.003158989945940327
1994-09-01,110.83,54,4.707997495787562,-0.0012623987249105184
1994-10-01,110.91,57,4.70871906161665,0.000721565829088
1994-11-01,111.04,45,4.7098904967584945,0.00117143514184459
1994-12-01,110.7,40,4.706823839714591,-0.003066657043903298
1995-01-01,110.77,47,4.7074559795288415,0.0006321398142503654
1995-02-01,111.19,47,4.711240449715158,0.0037844701863161134
1995-03-01,111.49,60,4.71393490077948,0.002694451064322756
1995-04-01,111.95,58,4.718052343044764,0.004117442265283877
1995-05-01,112.32,63,4.721351940277501,0.0032995972327363177
1995-06-01,113.12,64,4.728449202148263,0.007097261870762317
1995-07-01,113.63,64,4.7329475559299174,0.004498353781654529
1995-08-01,113.97,63,4.735935255867644,0.002987699937726518
1995-09-01,113.9,54,4.735320870453137,-0.0006143854145070904
1995-10-01,113.82,54,4.734618253174978,-0.0007026172781587903
1995-11-01,113.84,46,4.734793953781597,0.00017570060661853404
1995-12-01,113.96,45,4.735847509629708,0.0010535558481112872
1996-01-01,114.1,54,4.73707525686803,0.0012277472383219745
1996-02-01,114.28,68,4.738651577362572,0.0015763204945420384
1996-03-01,115.03,70,4.745192963907919,0.006541386545347194
1996-04-01,115.66,70,4.750654852730072,0.005461888822153149
